WKT,nama,deskripsi
"POLYGON ((106.8230898 -6.1797033, 106.8235619 -6.1803646, 106.8308575 -6.1801086, 106.8310721 -6.1799593, 106.8309219 -6.1795113, 106.8304712 -6.17885, 106.8306214 -6.1785087, 106.829849 -6.1777193, 106.8299348 -6.1761194, 106.8300421 -6.1749887, 106.8299133 -6.1736447, 106.8290765 -6.1729834, 106.8292267 -6.1718954, 106.8289048 -6.1715967, 106.82324 -6.1717247, 106.8230898 -6.1797033))",Taman Monas,
"POLYGON ((106.8033043 -6.2229835, 106.8047634 -6.22469, 106.8088833 -6.2221729, 106.8083469 -6.221085, 106.8084541 -6.2158375, 106.8062226 -6.2153469, 106.8060938 -6.2127018, 106.7979399 -6.2142803, 106.7982188 -6.2205304, 106.8033043 -6.2229835))",Gelora Bung Karno,
"POLYGON ((106.826976 -6.3087407, 106.8245741 -6.3081915, 106.8244883 -6.3064, 106.8225571 -6.3066985, 106.8207117 -6.3063573, 106.8204113 -6.3058028, 106.8192097 -6.3055042, 106.8176218 -6.3054615, 106.8171927 -6.3050776, 106.8160769 -6.3051203, 106.8169338 -6.3068425, 106.8167836 -6.3076316, 106.8159897 -6.3080582, 106.8156893 -6.3096577, 106.8161184 -6.3105322, 106.8176419 -6.3103829, 106.8176205 -6.3118332, 106.817835 -6.3147977, 106.8164618 -6.3150963, 106.8163545 -6.3159707, 106.8178565 -6.31612, 106.8182857 -6.3163333, 106.8190581 -6.3166958, 106.8190581 -6.3171224, 106.8214829 -6.3175063, 106.8236286 -6.3173996, 106.823693 -6.3177409, 106.824723 -6.3178262, 106.8258602 -6.3112147, 106.8265683 -6.3113213, 106.826976 -6.3087407))",Kebun Binatang Ragunan,
"POLYGON ((106.8893836 -6.3015759, 106.8894157 -6.3027276, 106.8904994 -6.3027596, 106.8919156 -6.3026956, 106.8925271 -6.3016825, 106.8904672 -6.3015332, 106.8893836 -6.3015759))",Taman Mini Indonesia Indah,
"POLYGON ((106.8509219 -6.2329121, 106.8505142 -6.2334667, 106.8507717 -6.2344266, 106.8523596 -6.2354291, 106.8527029 -6.2363037, 106.8517373 -6.2398659, 106.8526171 -6.2421269, 106.8539475 -6.2421269, 106.8532608 -6.2411457, 106.8529604 -6.2399512, 106.8536041 -6.2372849, 106.8534968 -6.2348532, 106.8529389 -6.2348105, 106.8525742 -6.2334454, 106.8513725 -6.2335307, 106.8513296 -6.2329548, 106.8509219 -6.2329121))",Tebet Echo Park,
"POLYGON ((106.7230879 -6.0904648, 106.6866957 -6.0952442, 106.688069 -6.1020718, 106.6949355 -6.1116303, 106.6860091 -6.1266504, 106.6873824 -6.1409874, 106.6887557 -6.1737562, 106.7272078 -6.1969663, 106.7162215 -6.2249535, 106.742314 -6.2270013, 106.7533003 -6.2583997, 106.7533003 -6.2802409, 106.7807662 -6.3184609, 106.808232 -6.314366, 106.7924391 -6.3580429, 106.8089186 -6.3648671, 106.8528639 -6.3416645, 106.893376 -6.3710088, 106.9180953 -6.3587253, 106.9187819 -6.2986688, 106.905049 -6.2638601, 106.9201552 -6.2515741, 106.9435011 -6.2529392, 106.9496809 -6.2222231, 106.9702803 -6.1949184, 106.968907 -6.089782, 106.8459975 -6.1246022, 106.7697798 -6.1170922, 106.7230879 -6.0904648))",Kota DKI Jakarta,
"POLYGON ((110.828035 -8.2034397, 110.8335282 -8.1748947, 110.8143021 -8.1422693, 110.7964493 -8.1626605, 110.7868363 -8.1177985, 110.7538773 -8.0103813, 110.785463 -7.84172, 110.7648636 -7.8049863, 110.7497574 -7.8267548, 110.7167984 -7.7954622, 110.6742264 -7.8049863, 110.6714798 -7.7886591, 110.6481339 -7.7968228, 110.5904557 -7.8036257, 110.5547501 -7.7804953, 110.5149247 -7.7845772, 110.483339 -7.75056, 110.4476334 -7.5409535, 110.2691056 -7.7042921, 110.2581192 -7.6512139, 110.12491 -7.652575, 110.12491 -7.6811563, 110.12491 -7.7614458, 110.0425125 -7.8444409, 110.0383927 -7.9015755, 110.7332779 -8.2075174, 110.828035 -8.2034397))",DIY Yogyakarta,
"POLYGON ((106.7489008 -6.3697437, 106.7468409 -6.4035217, 106.7348246 -6.4424148, 106.7430643 -6.4700476, 106.7585138 -6.4884686, 106.8021158 -6.4714122, 106.8443445 -6.4717533, 106.8790201 -6.4700476, 106.903396 -6.4161452, 106.8958429 -6.3816857, 106.8639139 -6.3543893, 106.8306116 -6.3543893, 106.8117289 -6.3676965, 106.7900995 -6.3649668, 106.7550806 -6.363602, 106.7489008 -6.3697437))",Depok, Jawa Barat,
